LR_ID,U_ID,LOGIN_TIME,REMARKS
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
2019-12-111,1,08:07:26.166435900,-
2019-12-115,2,08:07:42.299884600,-
2019-12-1114,3,08:08:11.353830100,-
2019-12-1191,4,08:08:19.331659400,-
